 ,Area,Mean,Min,Max
1,266.667,255,255,255
2,1022.222,255,255,255
3,2622.222,255,255,255
4,1155.556,255,255,255
5,3600.000,255,255,255
6,177.778,255,255,255
7,2488.889,255,255,255
8,355.556,255,255,255
9,266.667,255,255,255
10,3111.111,255,255,255
11,2400.000,255,255,255
12,1422.222,255,255,255
13,222.222,255,255,255
14,2355.556,255,255,255
15,2222.222,255,255,255
16,222.222,255,255,255
17,1777.778,255,255,255
18,2577.778,255,255,255
19,1466.667,255,255,255
20,1111.111,255,255,255
21,1200.000,255,255,255
22,622.222,255,255,255
23,8933.333,255,255,255
24,44.444,255,255,255
25,20711.111,255,255,255
26,1200.000,255,255,255
27,2533.333,255,255,255
28,3333.333,255,255,255
29,2844.444,255,255,255
30,2577.778,255,255,255
31,5244.444,255,255,255
32,2488.889,255,255,255
33,5066.667,255,255,255
34,88.889,255,255,255
35,44.444,255,255,255
36,133.333,255,255,255
37,44.444,255,255,255
38,222.222,255,255,255
39,666.667,255,255,255
40,44.444,255,255,255
41,311.111,255,255,255
42,533.333,255,255,255
43,44.444,255,255,255
44,44.444,255,255,255
45,2400.000,255,255,255
46,977.778,255,255,255
47,2400.000,255,255,255
48,133.333,255,255,255
49,222.222,255,255,255
50,2400.000,255,255,255
51,177.778,255,255,255
52,8088.889,255,255,255
53,5200.000,255,255,255
54,13333.333,255,255,255
55,311.111,255,255,255
56,133.333,255,255,255
57,1688.889,255,255,255
58,311.111,255,255,255
59,622.222,255,255,255
60,1155.556,255,255,255
61,444.444,255,255,255
62,4088.889,255,255,255
63,3644.444,255,255,255
64,1644.444,255,255,255
65,488.889,255,255,255
66,2311.111,255,255,255
67,800.000,255,255,255
68,4711.111,255,255,255
69,2177.778,255,255,255
70,222.222,255,255,255
71,1066.667,255,255,255
72,800.000,255,255,255
73,1377.778,255,255,255
74,711.111,255,255,255
75,7644.444,255,255,255
76,2088.889,255,255,255
77,3066.667,255,255,255
78,7600.000,255,255,255
79,1111.111,255,255,255
80,88.889,255,255,255
81,755.556,255,255,255
82,3377.778,255,255,255
83,44.444,255,255,255
84,2933.333,255,255,255
85,2444.444,255,255,255
86,755.556,255,255,255
87,2711.111,255,255,255
88,133.333,255,255,255
89,44.444,255,255,255
90,266.667,255,255,255
91,888.889,255,255,255
92,88.889,255,255,255
93,1288.889,255,255,255
94,2400.000,255,255,255
95,1644.444,255,255,255
96,177.778,255,255,255
97,622.222,255,255,255
98,88.889,255,255,255
99,1333.333,255,255,255
100,7866.667,255,255,255
101,4844.444,255,255,255
102,1333.333,255,255,255
103,177.778,255,255,255
104,5466.667,255,255,255
105,44.444,255,255,255
106,400.000,255,255,255
107,311.111,255,255,255
108,4177.778,255,255,255
109,1555.556,255,255,255
110,4622.222,255,255,255
111,2044.444,255,255,255
112,666.667,255,255,255
113,311.111,255,255,255
114,3688.889,255,255,255
115,1244.444,255,255,255
116,1644.444,255,255,255
117,1066.667,255,255,255
118,1111.111,255,255,255
119,44.444,255,255,255
120,533.333,255,255,255
121,488.889,255,255,255
122,2800.000,255,255,255
123,488.889,255,255,255
124,177.778,255,255,255
125,311.111,255,255,255
126,44.444,255,255,255
127,3066.667,255,255,255
128,44.444,255,255,255
129,2444.444,255,255,255
130,44.444,255,255,255
131,2222.222,255,255,255
132,400.000,255,255,255
133,44.444,255,255,255
134,2000.000,255,255,255
135,266.667,255,255,255
136,44.444,255,255,255
137,1377.778,255,255,255
138,977.778,255,255,255
139,355.556,255,255,255
140,1288.889,255,255,255
141,1600.000,255,255,255
142,88.889,255,255,255
143,577.778,255,255,255
144,400.000,255,255,255
145,933.333,255,255,255
146,2444.444,255,255,255
147,4266.667,255,255,255
148,177.778,255,255,255
149,3155.556,255,255,255
150,44.444,255,255,255
151,4311.111,255,255,255
152,1733.333,255,255,255
153,622.222,255,255,255
154,3822.222,255,255,255
155,2266.667,255,255,255
156,3155.556,255,255,255
157,1866.667,255,255,255
158,3333.333,255,255,255
159,44.444,255,255,255
160,44.444,255,255,255
161,10933.333,255,255,255
162,266.667,255,255,255
163,622.222,255,255,255
164,44.444,255,255,255
165,4222.222,255,255,255
166,177.778,255,255,255
167,44.444,255,255,255
168,1200.000,255,255,255
169,133.333,255,255,255
170,1022.222,255,255,255
171,18844.444,255,255,255
172,21155.556,255,255,255
173,222.222,255,255,255
174,844.444,255,255,255
175,1422.222,255,255,255
176,1288.889,255,255,255
177,44.444,255,255,255
178,577.778,255,255,255
179,88.889,255,255,255
180,88.889,255,255,255
181,222.222,255,255,255
182,755.556,255,255,255
183,133.333,255,255,255
184,133.333,255,255,255
185,355.556,255,255,255
186,444.444,255,255,255
187,177.778,255,255,255
188,2755.556,255,255,255
189,1555.556,255,255,255
190,11333.333,255,255,255
191,12755.556,255,255,255
192,3733.333,255,255,255
193,222.222,255,255,255
194,44.444,255,255,255
195,1600.000,255,255,255
196,44.444,255,255,255
197,177.778,255,255,255
198,1422.222,255,255,255
199,800.000,255,255,255
200,9422.222,255,255,255
201,7866.667,255,255,255
202,2622.222,255,255,255
203,888.889,255,255,255
204,2177.778,255,255,255
205,4133.333,255,255,255
206,577.778,255,255,255
207,88.889,255,255,255
208,6533.333,255,255,255
209,20933.333,255,255,255
210,3288.889,255,255,255
211,311.111,255,255,255
212,2666.667,255,255,255
213,1111.111,255,255,255
214,88.889,255,255,255
215,4933.333,255,255,255
216,44.444,255,255,255
217,3066.667,255,255,255
218,400.000,255,255,255
219,622.222,255,255,255
220,311.111,255,255,255
221,1511.111,255,255,255
222,88.889,255,255,255
223,2488.889,255,255,255
224,222.222,255,255,255
225,4177.778,255,255,255
226,400.000,255,255,255
227,8400.000,255,255,255
228,1955.556,255,255,255
229,1022.222,255,255,255
230,711.111,255,255,255
231,44.444,255,255,255
232,444.444,255,255,255
233,9955.556,255,255,255
234,2311.111,255,255,255
235,2577.778,255,255,255
236,1600.000,255,255,255
237,222.222,255,255,255
238,1022.222,255,255,255
239,755.556,255,255,255
240,44.444,255,255,255
241,222.222,255,255,255
242,3066.667,255,255,255
243,222.222,255,255,255
244,1377.778,255,255,255
245,355.556,255,255,255
246,355.556,255,255,255
247,311.111,255,255,255
248,2400.000,255,255,255
249,266.667,255,255,255
250,4577.778,255,255,255
251,44.444,255,255,255
252,3333.333,255,255,255
253,44.444,255,255,255
254,1422.222,255,255,255
255,177.778,255,255,255
256,2177.778,255,255,255
257,88.889,255,255,255
258,400.000,255,255,255
259,44.444,255,255,255
260,5200.000,255,255,255
261,5644.444,255,255,255
262,488.889,255,255,255
263,2044.444,255,255,255
264,6000.000,255,255,255
265,2533.333,255,255,255
266,355.556,255,255,255
267,2088.889,255,255,255
268,6622.222,255,255,255
269,1555.556,255,255,255
270,1200.000,255,255,255
271,6400.000,255,255,255
272,1288.889,255,255,255
273,133.333,255,255,255
274,4400.000,255,255,255
275,3466.667,255,255,255
276,4666.667,255,255,255
277,1555.556,255,255,255
278,3822.222,255,255,255
279,1688.889,255,255,255
280,2177.778,255,255,255
281,133.333,255,255,255
282,2577.778,255,255,255
283,4400.000,255,255,255
284,2755.556,255,255,255
285,2888.889,255,255,255
286,844.444,255,255,255
287,5822.222,255,255,255
288,222.222,255,255,255
289,6088.889,255,255,255
290,6088.889,255,255,255
291,577.778,255,255,255
292,266.667,255,255,255
293,2266.667,255,255,255
294,1600.000,255,255,255
295,1822.222,255,255,255
296,23466.667,255,255,255
297,222.222,255,255,255
298,5155.556,255,255,255
299,2133.333,255,255,255
300,311.111,255,255,255
301,622.222,255,255,255
302,666.667,255,255,255
303,133.333,255,255,255
304,10266.667,255,255,255
305,1111.111,255,255,255
306,8711.111,255,255,255
307,4622.222,255,255,255
308,2755.556,255,255,255
309,5288.889,255,255,255
310,666.667,255,255,255
311,355.556,255,255,255
312,66177.778,255,255,255
313,6000.000,255,255,255
314,844.444,255,255,255
315,933.333,255,255,255
316,3288.889,255,255,255
317,4844.444,255,255,255
318,18888.889,255,255,255
319,177.778,255,255,255
320,1511.111,255,255,255
321,1333.333,255,255,255
322,2311.111,255,255,255
323,2000.000,255,255,255
324,88.889,255,255,255
325,666.667,255,255,255
326,3333.333,255,255,255
327,222.222,255,255,255
328,59066.667,255,255,255
329,2666.667,255,255,255
330,311.111,255,255,255
331,2933.333,255,255,255
332,44.444,255,255,255
333,622.222,255,255,255
334,488.889,255,255,255
335,7600.000,255,255,255
336,2488.889,255,255,255
337,622.222,255,255,255
338,2088.889,255,255,255
339,15333.333,255,255,255
340,3333.333,255,255,255
341,1022.222,255,255,255
342,5377.778,255,255,255
343,177.778,255,255,255
344,2222.222,255,255,255
345,3377.778,255,255,255
346,4088.889,255,255,255
347,311.111,255,255,255
348,177.778,255,255,255
349,133.333,255,255,255
350,6088.889,255,255,255
351,88.889,255,255,255
352,1022.222,255,255,255
353,444.444,255,255,255
354,14977.778,255,255,255
355,400.000,255,255,255
356,1200.000,255,255,255
357,1288.889,255,255,255
358,5111.111,255,255,255
359,533.333,255,255,255
360,88.889,255,255,255
361,2133.333,255,255,255
362,1911.111,255,255,255
363,1511.111,255,255,255
364,15200.000,255,255,255
365,177.778,255,255,255
366,6533.333,255,255,255
367,133.333,255,255,255
368,1555.556,255,255,255
369,3111.111,255,255,255
370,2444.444,255,255,255
371,622.222,255,255,255
372,1866.667,255,255,255
373,88.889,255,255,255
374,2977.778,255,255,255
375,1288.889,255,255,255
376,311.111,255,255,255
377,400.000,255,255,255
378,3911.111,255,255,255
379,7511.111,255,255,255
380,44.444,255,255,255
381,42044.444,255,255,255
382,488.889,255,255,255
383,5244.444,255,255,255
384,9288.889,255,255,255
385,2844.444,255,255,255
386,3911.111,255,255,255
387,1822.222,255,255,255
388,1600.000,255,255,255
389,44.444,255,255,255
390,2000.000,255,255,255
391,1511.111,255,255,255
392,49155.556,255,255,255
393,14266.667,255,255,255
394,4400.000,255,255,255
395,177.778,255,255,255
396,1022.222,255,255,255
397,2044.444,255,255,255
398,1466.667,255,255,255
399,355.556,255,255,255
400,400.000,255,255,255
401,1111.111,255,255,255
402,44.444,255,255,255
403,266.667,255,255,255
404,177.778,255,255,255
405,2133.333,255,255,255
406,2666.667,255,255,255
407,2222.222,255,255,255
408,3422.222,255,255,255
409,1466.667,255,255,255
410,488.889,255,255,255
411,8044.444,255,255,255
412,6533.333,255,255,255
413,1466.667,255,255,255
414,1822.222,255,255,255
415,44.444,255,255,255
416,1555.556,255,255,255
417,2400.000,255,255,255
418,1422.222,255,255,255
419,2355.556,255,255,255
420,222.222,255,255,255
421,222.222,255,255,255
422,2444.444,255,255,255
423,2266.667,255,255,255
424,177.778,255,255,255
425,444.444,255,255,255
426,1866.667,255,255,255
427,222.222,255,255,255
428,4800.000,255,255,255
429,17155.556,255,255,255
430,2933.333,255,255,255
431,266.667,255,255,255
432,400.000,255,255,255
433,44.444,255,255,255
434,2711.111,255,255,255
435,933.333,255,255,255
436,355.556,255,255,255
437,6000.000,255,255,255
438,311.111,255,255,255
439,222.222,255,255,255
440,44.444,255,255,255
441,2355.556,255,255,255
442,44.444,255,255,255
443,5644.444,255,255,255
444,133.333,255,255,255
445,8177.778,255,255,255
446,355.556,255,255,255
447,9022.222,255,255,255
448,1911.111,255,255,255
449,1377.778,255,255,255
450,177.778,255,255,255
451,177.778,255,255,255
452,311.111,255,255,255
453,3555.556,255,255,255
454,2755.556,255,255,255
455,44.444,255,255,255
456,844.444,255,255,255
457,444.444,255,255,255
458,2622.222,255,255,255
459,444.444,255,255,255
460,10088.889,255,255,255
461,1422.222,255,255,255
462,488.889,255,255,255
463,3688.889,255,255,255
464,1200.000,255,255,255
465,44.444,255,255,255
466,44.444,255,255,255
467,44.444,255,255,255
468,6177.778,255,255,255
469,1555.556,255,255,255
470,2311.111,255,255,255
471,1911.111,255,255,255
472,933.333,255,255,255
473,1466.667,255,255,255
474,4666.667,255,255,255
475,88.889,255,255,255
476,2400.000,255,255,255
477,977.778,255,255,255
478,666.667,255,255,255
479,5911.111,255,255,255
480,3333.333,255,255,255
481,1288.889,255,255,255
482,577.778,255,255,255
483,1066.667,255,255,255
484,44.444,255,255,255
485,22933.333,255,255,255
486,28311.111,255,255,255
487,133.333,255,255,255
488,7555.556,255,255,255
489,95600.000,255,255,255
490,6044.444,255,255,255
491,577.778,255,255,255
492,2888.889,255,255,255
493,3733.333,255,255,255
494,844.444,255,255,255
495,12711.111,255,255,255
496,933.333,255,255,255
497,88.889,255,255,255
498,2222.222,255,255,255
499,1511.111,255,255,255
500,355.556,255,255,255
501,177.778,255,255,255
502,10400.000,255,255,255
503,1555.556,255,255,255
504,533.333,255,255,255
505,1111.111,255,255,255
506,400.000,255,255,255
507,400.000,255,255,255
508,2444.444,255,255,255
509,5422.222,255,255,255
510,5511.111,255,255,255
511,26222.222,255,255,255
512,44.444,255,255,255
513,133.333,255,255,255
514,7466.667,255,255,255
515,1911.111,255,255,255
516,5733.333,255,255,255
517,177.778,255,255,255
518,6444.444,255,255,255
519,1555.556,255,255,255
520,12311.111,255,255,255
521,533.333,255,255,255
522,3066.667,255,255,255
523,22177.778,255,255,255
524,533.333,255,255,255
525,1422.222,255,255,255
526,133.333,255,255,255
527,6266.667,255,255,255
528,133.333,255,255,255
529,59511.111,255,255,255
530,44.444,255,255,255
531,266.667,255,255,255
532,755.556,255,255,255
533,533.333,255,255,255
534,6444.444,255,255,255
535,1288.889,255,255,255
536,2977.778,255,255,255
537,44.444,255,255,255
538,2222.222,255,255,255
539,933.333,255,255,255
540,2133.333,255,255,255
541,18400.000,255,255,255
542,488.889,255,255,255
543,311.111,255,255,255
544,133.333,255,255,255
545,133.333,255,255,255
546,222.222,255,255,255
547,1511.111,255,255,255
548,7911.111,255,255,255
549,977.778,255,255,255
550,44.444,255,255,255
551,10088.889,255,255,255
552,1111.111,255,255,255
553,311.111,255,255,255
554,4444.444,255,255,255
555,133.333,255,255,255
556,3244.444,255,255,255
557,2533.333,255,255,255
558,222.222,255,255,255
559,933.333,255,255,255
560,1111.111,255,255,255
561,4222.222,255,255,255
562,1555.556,255,255,255
563,755.556,255,255,255
564,1377.778,255,255,255
565,19555.556,255,255,255
566,17511.111,255,255,255
567,1155.556,255,255,255
568,3511.111,255,255,255
569,2000.000,255,255,255
570,44.444,255,255,255
571,44.444,255,255,255
572,444.444,255,255,255
573,577.778,255,255,255
574,577.778,255,255,255
575,1244.444,255,255,255
576,2222.222,255,255,255
577,3111.111,255,255,255
578,5066.667,255,255,255
579,533.333,255,255,255
580,177.778,255,255,255
581,622.222,255,255,255
582,44.444,255,255,255
583,3022.222,255,255,255
584,4222.222,255,255,255
585,177.778,255,255,255
586,88.889,255,255,255
587,222.222,255,255,255
588,3377.778,255,255,255
589,666.667,255,255,255
590,1066.667,255,255,255
591,977.778,255,255,255
592,222.222,255,255,255
593,133.333,255,255,255
594,8311.111,255,255,255
595,5022.222,255,255,255
596,2177.778,255,255,255
597,3688.889,255,255,255
598,266.667,255,255,255
599,1955.556,255,255,255
600,1866.667,255,255,255
601,1333.333,255,255,255
602,8755.556,255,255,255
603,88.889,255,255,255
604,7688.889,255,255,255
605,755.556,255,255,255
606,933.333,255,255,255
607,1600.000,255,255,255
